id_shoes;nom;categorie;marque;genre;Prix;materiaux;usage;caracteristiques;description;mots_cles;stock_total;url_image
13;SpeedFlow Race;Running;FlyMotion;Mixte;159.9;"Tige: Mesh de course; Semelle: Plaque carbone + Mousse; Doublure: Textile minimal";Running,Compétition,Route;Plaque carbone propulsive,Poids minimal,Semelle épaisse racing,Drop 4mm,Pour la compétition;Les SpeedFlow Race sont les chaussures des coureurs qui visent la performance absolue en compétition. La plaque carbone intégrée dans la semelle crée un effet propulsif unique qui optimise l'économie de course. La mousse racing ultra-légère et le drop de 4mm favorisent une foulée avant-pied dynamique. Pesant seulement 220 grammes, elles minimisent la fatigue sur les distances de 5km au marathon. Réservées aux coureurs entraînés pour une utilisation en course ou en entraînement rapide.;compétition,carbone,racing,marathon,performance,vitesse,propulsion,avant-pied;1486;images/image13.png
14;EnduroTrail GTX;Running;MountainEdge;Mixte;149.9;"Tige: Mesh renforcé waterproof; Semelle: Lugs trail; Doublure: Gore-Tex";Trail,Running montagne,Sentiers;Imperméable Gore-Tex,Crampons trail profonds,Protection orteils,Drainage rapide,Accroche terre humide;Les EnduroTrail GTX sont conçues pour les traileurs qui affrontent tous les terrains et toutes les météos. La membrane Gore-Tex intégrée maintient les pieds au sec même dans les passages à gué ou sous la pluie battante. Les crampons profonds mordent efficacement dans la boue, les rochers et les feuilles mouillées. La protection renforcée des orteils préserve des chocs sur les terrains chaotiques. Que vous fassiez du trail court ou des ultras, elles tiennent la distance.;trail,montagne,sentiers,gore-tex,imperméable,crampons,boue,terrain,ultra;1572;images/image14.png
15;FlowLite Daily;Running;Athletica;Mixte;89.9;"Tige: Mesh respirant; Semelle: EVA; Doublure: Textile";Running,Jogging,Débutant;Polyvalente,Confortable,Drop 10mm,Bonne durabilité,Idéale débutant;Les FlowLite Daily sont la chaussure de running idéale pour débuter ou courir régulièrement sans se ruiner. Leur semelle en EVA confortable et leur tige respirante offrent tout le nécessaire pour des sorties plaisantes de 5 à 15km. Le drop de 10mm accompagne naturellement la foulée talon des coureurs débutants. Solides et durables, elles résistent aux entraînements répétés sur route et chemin. Un excellent premier choix pour se lancer dans la course à pied.;débutant,jogging,running,quotidien,confort,route,accessible,premier;1661;images/image15.png
16;UltraStep Boost;Running;FlyMotion;Mixte;169.0;"Tige: Mesh 3D knit; Semelle: Boost foam; Doublure: Textile";Running,Long distance,Route;Technologie Boost,Retour énergie maximal,Confort longue durée,Tige chaussette,Très légère;Les UltraStep Boost intègrent une technologie de mousse Boost révolutionnaire qui offre un retour d'énergie inégalé à chaque foulée. La tige en mesh 3D knit s'adapte comme une chaussette à la forme exacte du pied pour un maintien sans coutures irritantes. Idéales pour les longues sorties du dimanche ou la préparation marathon, elles maintiennent leur niveau de confort kilomètre après kilomètre. La légèreté de l'ensemble réduit significativement la fatigue musculaire.;boost,énergie,running,marathon,long,confort,knit,chaussette,foulée;1740;images/image16.png
17;SpeedMax Light;Running;Athletica;Mixte;124.9;"Tige: Mesh ultra-fin; Semelle: Caoutchouc léger; Doublure: Textile minimal";Running,Vitesse,Route;Ultralégère,Drop 6mm,Favorise avant-pied,Bonne ventilation,Semi-minimaliste;Les SpeedMax Light s'adressent aux coureurs intermédiaires à avancés qui souhaitent gagner en vitesse et travailler leur foulée avant-pied. Leur poids plume (235g) et leur drop de 6mm encouragent naturellement une attaque milieu-avant du pied. La semelle en caoutchouc léger assure une bonne durabilité sans alourdir le pas. Parfaites pour les séances de fractionné, les courses sur route et l'entraînement à l'allure.;vitesse,léger,avant-pied,fractionné,intermédiaire,drop 6mm,running,allure;1398;images/image17.png
18;TrailRock X Pro;Randonnée;MountainEdge;Mixte;159.99;"Tige: Cuir nubuck + membrane imperméable; Semelle: Vibram; Doublure: Membrane waterproof";Randonnée,Montagne,Multi-jours;Imperméables,Semelle Vibram haute adhérence,Protection anti-chocs,Cheville haute,Support plantaire;Les TrailRock X Pro sont pensées pour les randonneurs exigeants qui s'aventurent sur tous les terrains. La tige en cuir nubuck traité imperméable résiste aux pluies, éclaboussures et passages humides. La semelle Vibram offre une adhérence remarquable sur rochers mouillés, pierriers et sentiers glissants. La tige montante protège et soutient la cheville sur les terrains accidentés. Le support plantaire anatomique réduit la fatigue lors des longues journées de marche avec un sac chargé.;randonnée,montagne,vibram,imperméable,cheville,multi-jours,cuir,sentier,GR;1671;images/image18.png
19;TrekLite Summer;Randonnée;MountainEdge;Mixte;119.9;"Tige: Mesh respirant renforcé; Semelle: Caoutchouc trail; Doublure: Textile";Randonnée,Basses altitudes,Été;Légères pour la rando,Respirantes,Séchage rapide,Semelle trail,Tige basse;Les TrekLite Summer sont parfaites pour la randonnée estivale sur chemins et sentiers de moyenne montagne. Leur tige basse en mesh respirant assure une excellente ventilation lors des ascensions par forte chaleur. Le séchage rapide est idéal pour les passages à gué ou les journées humides. La semelle en caoutchouc trail garantit une bonne accroche sur les chemins variés. Légères et polyvalentes, elles conviennent aussi bien à la marche nordique qu'aux balades en forêt.;randonnée,été,légère,basse,respirant,sentier,forêt,journée,nature;1746;images/image19.png
20;RockShield Alpine;Randonnée;MountainEdge;Mixte;189.9;"Tige: Cuir pleine fleur; Semelle: Vibram Mega Grip; Doublure: Gore-Tex Performance";Randonnée,Haute montagne,Bivouac;Gore-Tex haute performance,Vibram Mega Grip,Cramponable,Très rigide,Usage technique;Les RockShield Alpine sont des chaussures de haute montagne destinées aux randonneurs techniques et alpinistes. La tige en cuir pleine fleur alliée au Gore-Tex Performance assure une imperméabilité et une respirabilité de haut niveau dans les conditions extrêmes. La semelle Vibram Mega Grip offre une adhérence supérieure sur rochers secs ou humides. La rigidité de la semelle permet l'utilisation de crampons à clips pour les approches glaciaires. Un équipement premium pour les sorties alpines sérieuses.;alpine,haute montagne,gore-tex,vibram,crampon,technique,bivouac,alpinisme;1409;images/image20.png
21;ForestGrip Walk;Randonnée;MountainEdge;Mixte;94.9;"Tige: Synthétique respirant; Semelle: Caoutchouc naturel; Doublure: Textile";Randonnée,Forêt,Balades;Abordable,Confortable,Accroche forêt,Légère,Idéale randonnées courtes;Les ForestGrip Walk sont le point d'entrée idéal pour découvrir la randonnée. Abordables et polyvalentes, elles offrent toutes les caractéristiques essentielles pour profiter des balades en forêt et des randonnées de journée sur chemins balisés. La semelle en caoutchouc naturel assure une bonne accroche sur les sols forestiers variés. Confortables dès la première sortie sans nécessiter de rodage prolongé, elles conviennent aux familles et aux randonneurs occasionnels.;forêt,balades,débutant,confort,abordable,journée,famille,chemin,nature;1448;images/image21.png
22;BreezeWalk Liège;Sandales;SummerFeet;Femme;59.9;"Tige: Cuir souple; Semelle: Liège naturel; Doublure: Microfibre";Quotidien,Ville,Été;Semelle liège anatomique,Réglables,Légères,Respirantes,Confort naturel;Les BreezeWalk Liège s'inspirent des meilleures sandales de confort européennes. La semelle en liège naturel s'adapte progressivement à la forme du pied pour un confort personnalisé unique. Les brides en cuir souple sont entièrement réglables pour s'adapter à toutes les morphologies. Légères et respirantes, elles sont parfaites pour les longues journées d'été en ville ou en vacances. Le cuir se patine avec le temps et devient encore plus beau à l'usage.;liège,cuir,sandales,confort,été,ville,vacances,anatomique,femme;1254;images/image22.png
23;OceanBreeze Sport;Sandales;SummerFeet;Mixte;49.9;"Tige: Textil synthétique séchage rapide; Semelle: Caoutchouc antidérapant; Doublure: EVA";Plage,Eau,Sport aquatique;Séchage ultra-rapide,Antidérapante sol mouillé,Drainage intégré,Légères,Résistantes eau salée;Les OceanBreeze Sport sont conçues pour tous les environnements aquatiques. Le tissu synthétique à séchage ultra-rapide évite l'inconfort des sandales détrempées. La semelle en caoutchouc antidérapant assure une sécurité maximale sur les rochers mouillés, les bords de piscine et les pontons. Le système de drainage intégré évacue l'eau immédiatement. Résistantes à l'eau salée, au sable et au chlore, elles sont le compagnon idéal de toutes les aventures aquatiques.;plage,eau,piscine,sport aquatique,séchage rapide,antidérapant,mer,été;1541;images/image23.png
24;SummerFlow Comfort;Sandales;SummerFeet;Femme;39.9;"Tige: Textile synthétique; Semelle: Mousse EVA; Doublure: Textile";Plage,Quotidien,Loisirs;Légères,Souples,Idéales plage,Semelle épaisse moelleuse,Économiques;Les SummerFlow Comfort sont des sandales simples, légères et abordables pour profiter pleinement de l'été. La semelle en mousse EVA épaisse et moelleuse absorbe les chocs et offre un confort immédiat sans période d'adaptation. Idéales pour la plage, les sorties en ville ou simplement pour flâner, elles s'enfilent et se retirent en un instant. Leur prix accessible en fait le choix parfait pour avoir une paire de sandales de secours ou pour les vacances.;plage,été,légère,abordable,mousse,vacances,sandales,confort,simple;936;images/image24.png
25;ComfortStep Pro;Sandales;GentleStep;Homme;69.9;"Tige: Cuir véritable; Semelle: Caoutchouc; Doublure: Cuir";Ville,Quotidien,Randonnée légère;Cuir véritable,Robustes,Style masculin,Polyvalentes,Semelle durable;Les ComfortStep Pro sont des sandales en cuir véritable pensées pour l'homme actif. Leur construction robuste en cuir pleine fleur garantit une durabilité exceptionnelle, même avec un port quotidien intensif. Le cuir de la semelle intérieure absorbe la transpiration et régule naturellement la température. Les boucles métalliques solides permettent un réglage précis pour s'adapter à tous les pieds. Parfaites pour les vacances actives, la ville ou les randonnées légères.;cuir,homme,robuste,ville,randonnée légère,qualité,sandales,quotidien;1203;images/image25.png
26;UrbanRidge Winter;Bottines;NordCraft;Mixte;129.0;"Tige: Cuir; Semelle: Caoutchouc épais; Doublure: Laine mélangée";Hiver,Ville,Quotidien;Chaudes,Robustes,Antidérapantes,Doublure laine,Imperméabilité basique,Lacets + zip;Les UrbanRidge Winter sont pensées pour affronter les hivers rigoureux sans sacrifier le style. La doublure en laine mélangée maintient une chaleur optimale même par températures négatives. La semelle en caoutchouc épais offre une excellente résistance au froid et une bonne antidérapance sur les trottoirs glissants. L'association lacets et zip latéral permet un enfilage rapide. Le cuir traité offre une résistance basique à l'humidité pour les temps maussades.;hiver,froid,chaud,laine,antidérapant,bottines,cuir,ville,neige;1679;images/image26.png
27;CityWalk Chelsea;Bottines;NordCraft;Femme;109.9;"Tige: Cuir synthétique; Semelle: Caoutchouc; Doublure: Textile";Ville,Bureau,Quotidien;Style Chelsea classique,Élastiques latéraux,Talon carré 3cm,Légère,Élégante;Les CityWalk Chelsea revisitent le classique intemporel des bottines Chelsea avec une touche contemporaine. Les élastiques latéraux en tissu élastiqué permettent un enfilage aisé tout en assurant un excellent maintien du pied. Le talon carré de 3cm apporte une légère élévation flatteuse sans compromettre la stabilité. Polyvalentes, elles se portent aussi bien avec un jean qu'avec une jupe ou un tailleur. Un basique élégant pour toute garde-robe féminine.;chelsea,bottines,élégant,ville,bureau,femme,talon,intemporel,classique;1257;images/image27.png
28;SnowShield Arctic;Bottines;NordCraft;Mixte;149.9;"Tige: Nylon imperméable; Semelle: Caoutchouc froid; Doublure: Polaire Thinsulate 200g";Grand froid,Neige,Hiver extrême;Imperméables 100%,Isolation Thinsulate 200g,Températures jusqu'à -25°C,Crampon neige amovible,Fermeture velcro;Les SnowShield Arctic sont conçues pour les conditions hivernales les plus sévères. L'isolation Thinsulate 200g garantit une chaleur optimale jusqu'à -25°C sans alourdir excessivement la chaussure. La tige en nylon imperméable et la semelle résistante au froid empêchent tout durcissement par basses températures. Le crampon neige amovible fourni avec les chaussures offre une traction supplémentaire sur verglas. La fermeture velcro facilite l'enfilage avec des gants.;neige,grand froid,hiver,thinsulate,imperméable,arctique,verglas,-25°C;1597;images/image28.png
29;SoftWalk Classic;Mocassins;GentleStep;Homme;79.9;"Tige: Cuir souple; Semelle: Caoutchouc; Doublure: Cuir souple";Bureau,Ville,Quotidien;Souples,Confortables,Style classique,Pas de lacets,Élégants discrets;Les SoftWalk Classic sont des mocassins légers et confortables qui s'adaptent aussi bien au bureau qu'aux sorties en ville. Fabriqués en cuir souple pleine fleur, ils épousent naturellement la forme du pied au fil du temps pour un confort personnalisé. L'absence de lacets permet de les enfiler et les retirer en quelques secondes. La doublure en cuir absorbe la transpiration et garantit une hygiène durable. Un classique masculin indémodable.;mocassins,bureau,travail,cuir,confort,homme,classique,sans lacets,élégant;1609;images/image29.png
30;UrbanSoft Loafer;Mocassins;GentleStep;Femme;69.9;"Tige: Cuir synthétique doux; Semelle: Crêpe; Doublure: Microfibre";Bureau,Ville,Quotidien;Légère,Féminine,Semelle crêpe douce,Talon plat,Polyvalente;Les UrbanSoft Loafer revisitent le mocassin féminin avec une touche de légèreté et de modernité. Le cuir synthétique doux offre l'esthétique du cuir sans les contraintes d'entretien. La semelle crêpe ultra-souple amorti chaque pas pour un confort remarquable sur les journées chargées. À talon plat, elles assurent une posture naturelle et réduisent la fatigue. Elles s'associent élégamment avec des pantalons, jupes ou robes mi-longues.;mocassins,femme,plat,bureau,léger,élégant,quotidien,confort,polyvalent;1032;images/image30.png
31;ClassicFit Premium;Mocassins;GentleStep;Homme;119.0;"Tige: Cuir véritable Nappa; Semelle: Cuir; Doublure: Cuir Nappa";Bureau,Soirée,Élégant;Cuir Nappa premium,Semelle cuir,Finitions soignées,Très élégants,Fait main Portugal;Les ClassicFit Premium représentent l'excellence artisanale au service du style masculin. Confectionnés à la main au Portugal, ils utilisent uniquement du cuir Nappa de première qualité, connu pour sa douceur incomparable et sa durabilité. La semelle en cuir véritable est interchangeable et peut être ressemblée, assurant une longévité exceptionnelle. Leurs finitions soignées, le point sellier apparent et le lustre naturel du Nappa en font des chaussures de cérémonie autant que des compagnons de bureau élèves.;premium,nappa,cuir,artisan,portugal,élégant,bureau,soirée,luxe,qualité;1473;images/image31.png
32;Élégance Haute Nuit;Talons;BelleMode;Femme;89.9;"Tige: Simili cuir satiné; Semelle: Synthétique; Doublure: Textile";Soirée,Fête,Événement;Talon aiguille 9cm,Bout pointu,Élégantes,Bride cheville,Semelle anti-dérapante;Les Élégance Haute Nuit sont la chaussure de soirée par excellence pour les occasions qui méritent d'être à la hauteur. Le talon aiguille de 9cm et le bout pointu créent une silhouette élancée et sophistiquée. La bride de cheville fine et ajustable assure le maintien du pied tout au long de la nuit. La semelle antidérapante apportée en embout métal offre une sécurité accrue sur les parquets lisses. Disponibles en noir sobre, rouge passion ou or festif pour toutes les tenues.;soirée,talons aiguilles,élégant,fête,gala,9cm,femme,glamour,bride;939;images/image32.png
33;SoftHeel Block;Talons;BelleMode;Femme;79.9;"Tige: Cuir synthétique; Semelle: Caoutchouc; Doublure: Microfibre";Bureau,Ville,Quotidien;Talon bloc 5cm,Stable,Confort bureau,Embout carré,Polyvalentes;Les SoftHeel Block combinent l'élégance d'un talon et le confort d'une chaussure plate. Le talon bloc de 5cm offre une belle hauteur tout en garantissant une stabilité que les talons aiguilles ne peuvent égaler. L'embout carré apporte une modernité dans la ligne de la chaussure très tendance. La semelle en caoutchouc assure un bon amorti sur les sols durs des bureaux et trottoirs. Idéales pour les femmes qui veulent rester à l'aise sans renoncer à la féminité.;talon bloc,bureau,stable,confort,5cm,quotidien,carré,femme,tendance;1169;images/image33.png
34;NightElegance Stiletto;Talons;BelleMode;Femme;109.0;"Tige: Satin; Semelle: Synthétique; Doublure: Textile satin";Soirée,Gala,Mariage;Talon 10cm,Ornementation cristaux,Très élégantes,Bout amande,Fermeture bride;Les NightElegance Stiletto sont créées pour les moments d'exception qui méritent une chaussure d'exception. Le satin luxueux de la tige capte la lumière avec élégance, sublimé par une ornementation en cristaux sur la bride. Le talon de 10cm et le bout amande allongent visuellement la jambe pour une silhouette somptueuse. Disponibles dans des teintes métallisées précieuses, elles subliment les robes de soirée, les tenues de mariage ou de cocktail.;mariage,gala,soirée,satin,cristaux,10cm,stiletto,luxe,précieux,femme;1080;images/image34.png
35;SafeGrip S3 Pro;Sécurité;WorkGuard;Mixte;109.9;"Tige: Cuir nubuck; Semelle: Caoutchouc polyuréthane; Doublure: Textile respirant";Chantier,Industrie,BTP;Norme S3,Embout acier,Anti-perforation,Antistatique,Hydrofuge,Résistant carburants;Les SafeGrip S3 Pro répondent à la norme de sécurité la plus stricte du marché, la norme EN ISO 20345 S3. L'embout en acier résiste à un impact de 200 joules pour une protection maximale des orteils. La semelle anti-perforation protège contre les clous et objets acérés. Les propriétés antistatiques évitent les décharges électrostatiques sur les sites sensibles. Traitées hydrofuges et résistantes aux carburants, elles s'adaptent à tous les environnements industriels et de chantier.;sécurité,S3,chantier,industrie,acier,anti-perforation,norme,BTP,travail;1063;images/image35.png
36;SteelPro Light S1P;Sécurité;WorkGuard;Mixte;79.9;"Tige: Mesh renforcé; Semelle: EVA + Caoutchouc; Doublure: Textile anti-bactérien";Entrepôt,Logistique,Industrie légère;Norme S1P,Embout composite léger,Anti-perforation,Légère,Confortable,Anti-bactérien;Les SteelPro Light S1P prouvent que sécurité et confort ne sont pas incompatibles. Conformes à la norme S1P, elles intègrent un embout en composite léger (30% plus léger que l'acier) sans sacrifier la protection contre les impacts de 200 joules. La semelle anti-perforation protège sans rigidifier. Légères et respirantes grâce à leur tige en mesh renforcé, elles réduisent considérablement la fatigue lors des longues journées en entrepôt ou en logistique. La doublure anti-bactérienne combat les odeurs.;sécurité,S1P,composite,léger,entrepôt,logistique,confort,anti-bactérien;1070;images/image36.png
37;HardWork ESD S2;Sécurité;WorkGuard;Mixte;129.9;"Tige: Cuir; Semelle: Spéciale ESD; Doublure: Tissu conducteur";Électronique,Laboratoire,Environnements ESD;Norme ESD,Dissipation électrostatique certifiée,Embout composite,Antistatique total,Laboratoire;Les HardWork ESD S2 sont spécialement conçues pour les environnements où la maîtrise des décharges électrostatiques est critique : électronique, microélectronique, pharmaceutique et laboratoires sensibles. La semelle ESD certifiée et la doublure en tissu conducteur forment un système complet de dissipation des charges statiques répondant à la norme EN 61340-5-1. L'embout en composite protège les orteils sans interférer avec les propriétés électriques. Idéales pour les salles blanches et environnements ISO.;ESD,antistatique,électronique,laboratoire,salle blanche,statique,sécurité,S2;711;images/image37.png
38;PureStep Vegan;Vegan;EcoFeet;Mixte;84.9;"Tige: Cuir pomme biobased; Semelle: Caoutchouc naturel; Doublure: Microfibre recyclée";Quotidien,Ville,Éco-responsable;100% vegan,Cuir pomme certifié,Matériaux recyclés,Fabrication éthique,Empreinte carbone réduite;Les PureStep Vegan représentent l'avant-garde de la chaussure éco-responsable. La tige est fabriquée à partir de cuir de pomme, un matériau innovant issu des déchets de l'industrie alimentaire italienne offrant texture et résistance similaires au cuir animal. La doublure en microfibre recyclée (issue de bouteilles plastiques récupérées) et la semelle en caoutchouc naturel complètent un cycle de production éthique et certifié. Zéro compromis sur le style ou le confort.;vegan,écologique,cuir pomme,recyclé,éthique,durable,zéro déchet,bio,responsable;1511;images/image38.png
39;GreenWalk Knit;Vegan;EcoFeet;Mixte;94.9;"Tige: Tricot en coton bio recyclé; Semelle: Liège + caoutchouc naturel; Doublure: Lin";Quotidien,Ville,Loisirs;Tricot bio respirant,Semelle liège naturel,Sans colle animale,Teintures naturelles,Confort naturel;Les GreenWalk Knit poussent l'engagement écologique encore plus loin avec une tige entièrement tricotée en coton biologique recyclé. Les teintures naturelles utilisées évitent les produits chimiques nocifs et respectent les normes les plus strictes de l'industrie textile. La semelle combinant liège naturel et caoutchouc végétal offre un amorti naturel qui s'adapte au pied. Aucune colle d'origine animale n'entre dans leur fabrication. Une chaussure qui vous permet de marcher léger sur la planète.;vegan,bio,coton,liège,naturel,zéro animal,teinture naturelle,écologie,durable;1759;images/image39.png
